sv_uav,sv_workload_mbit,run,tmax_model_s,tmax_emulated_s,tmax_error_s,tmax_error_pct
1,1.5,1,1.47,1.4769902229309082,0.00699022293090823,0.47552536944953944
1,1.5,2,1.47,1.4786019325256348,0.008601932525634792,0.5851654779343396
1,1.5,3,1.47,1.476194143295288,0.006194143295288113,0.42137029219647026
1,1.5,4,1.47,1.4783222675323486,0.00832226753234866,0.5661406484590925
1,1.5,5,1.47,1.4773223400115967,0.007322340011596706,0.4981183681358304
1,1.5,6,1.47,1.4763102531433105,0.0063102531433105735,0.42926892131364447
1,1.5,7,1.47,1.4758615493774414,0.005861549377441433,0.39874485560826073
1,1.5,8,1.47,1.4793179035186768,0.009317903518676784,0.6338709876650874
1,1.5,9,1.47,1.4769017696380615,0.00690176963806155,0.4695081386436429
1,1.5,10,1.47,1.4782826900482178,0.0082826900482178,0.5634483025998503
2,2.0,1,1.38,1.3865127563476562,0.006512756347656357,0.4719388657721998
2,2.0,2,1.38,1.3859808444976807,0.005980844497680771,0.43339452881744717
2,2.0,3,1.38,1.3880839347839355,0.008083934783935653,0.5857923756475112
2,2.0,4,1.38,1.3846721649169922,0.004672164916992294,0.33856267514436916
2,2.0,5,1.38,1.3880970478057861,0.00809704780578624,0.5867425946221914
2,2.0,6,1.38,1.3875994682312012,0.0075994682312012785,0.5506861037102376
2,2.0,7,1.38,1.3877103328704834,0.007710332870483505,0.5587197732234425
2,2.0,8,1.38,1.3886895179748535,0.008689517974853622,0.6296752155691031
2,2.0,9,1.38,1.387056589126587,0.007056589126587021,0.5113470381584798
2,2.0,10,1.38,1.3863399028778076,0.006339902877807724,0.4594132520150525
3,2.5,1,1.425,1.4350295066833496,0.010029506683349565,0.7038250304104957
3,2.5,2,1.425,1.436633586883545,0.011633586883544877,0.8163920620031493
3,2.5,3,1.425,1.4322147369384766,0.007214736938476518,0.506297329015896
3,2.5,4,1.425,1.4322319030761719,0.007231903076171831,0.5075019702576723
3,2.5,5,1.425,1.4342458248138428,0.009245824813842729,0.6488298114977353
3,2.5,6,1.425,1.4291892051696777,0.00418920516967769,0.29397931015282036
3,2.5,7,1.425,1.436392068862915,0.011392068862914995,0.7994434289764908
3,2.5,8,1.425,1.4351532459259033,0.010153245925903276,0.7125084860283001
3,2.5,9,1.425,1.4371767044067383,0.012176704406738237,0.8545055724026832
3,2.5,10,1.425,1.432532787322998,0.0075327873229980025,0.5286166542454739
4,2.0,1,1.38,1.3859622478485107,0.005962247848510849,0.4320469455442644
4,2.0,2,1.38,1.3883323669433594,0.008332366943359482,0.6037947060405422
4,2.0,3,1.38,1.3898539543151855,0.009853954315185653,0.7140546605206995
4,2.0,4,1.38,1.3855552673339844,0.005555267333984482,0.40255560391191897
4,2.0,5,1.38,1.3887050151824951,0.008705015182495224,0.6307982016300887
4,2.0,6,1.38,1.386138677597046,0.006138677597046005,0.44483170993086996
4,2.0,7,1.38,1.3855490684509277,0.005549068450927841,0.40210640948752474
4,2.0,8,1.38,1.3863482475280762,0.0063482475280762785,0.46001793681712166
4,2.0,9,1.38,1.385798454284668,0.005798454284668075,0.42017784671507796
4,2.0,10,1.38,1.3867628574371338,0.006762857437133896,0.49006213312564467
